request_data,label
GET /index.html,0
page number 2,0
hello world,0
user profile access,0
contact us page,0
page number 2,0
GET /index.html,0
user profile access,0
home page request,0
home page request,0
safe input,0
user profile access,0
simple form data,0
contact us page,0
contact us page,0
home page request,0
normal payload,0
safe input,0
simple form data,0
contact us page,0
user profile access,0
hello world,0
safe input,0
normal payload,0
normal payload,0
normal payload,0
contact us page,0
search query: books,0
search query: books,0
hello world,0
normal payload,0
user profile access,0
page number 2,0
normal payload,0
normal payload,0
simple form data,0
safe input,0
search query: books,0
hello world,0
simple form data,0
hello world,0
safe input,0
simple form data,0
user profile access,0
normal payload,0
search query: books,0
GET /index.html,0
safe input,0
page number 2,0
hello world,0
home page request,0
normal payload,0
page number 2,0
GET /index.html,0
search query: books,0
GET /index.html,0
user profile access,0
hello world,0
normal payload,0
page number 2,0
normal payload,0
hello world,0
simple form data,0
home page request,0
GET /index.html,0
user profile access,0
safe input,0
normal payload,0
normal payload,0
home page request,0
home page request,0
normal payload,0
search query: books,0
GET /index.html,0
contact us page,0
normal payload,0
hello world,0
safe input,0
contact us page,0
page number 2,0
safe input,0
GET /index.html,0
hello world,0
simple form data,0
hello world,0
user profile access,0
hello world,0
search query: books,0
safe input,0
contact us page,0
simple form data,0
GET /index.html,0
normal payload,0
normal payload,0
hello world,0
search query: books,0
home page request,0
hello world,0
GET /index.html,0
normal payload,0
contact us page,0
simple form data,0
page number 2,0
search query: books,0
simple form data,0
safe input,0
simple form data,0
contact us page,0
GET /index.html,0
user profile access,0
normal payload,0
search query: books,0
normal payload,0
normal payload,0
home page request,0
hello world,0
page number 2,0
search query: books,0
user profile access,0
GET /index.html,0
page number 2,0
page number 2,0
search query: books,0
GET /index.html,0
safe input,0
contact us page,0
user profile access,0
simple form data,0
hello world,0
GET /index.html,0
normal payload,0
hello world,0
normal payload,0
user profile access,0
home page request,0
user profile access,0
simple form data,0
hello world,0
page number 2,0
user profile access,0
safe input,0
hello world,0
safe input,0
search query: books,0
user profile access,0
hello world,0
user profile access,0
search query: books,0
contact us page,0
contact us page,0
GET /index.html,0
hello world,0
home page request,0
hello world,0
page number 2,0
GET /index.html,0
user profile access,0
contact us page,0
page number 2,0
home page request,0
normal payload,0
search query: books,0
contact us page,0
simple form data,0
contact us page,0
home page request,0
search query: books,0
safe input,0
normal payload,0
simple form data,0
simple form data,0
page number 2,0
hello world,0
normal payload,0
search query: books,0
hello world,0
hello world,0
GET /index.html,0
GET /index.html,0
search query: books,0
page number 2,0
hello world,0
home page request,0
page number 2,0
home page request,0
contact us page,0
safe input,0
hello world,0
page number 2,0
search query: books,0
safe input,0
search query: books,0
user profile access,0
hello world,0
normal payload,0
page number 2,0
normal payload,0
normal payload,0
simple form data,0
search query: books,0
contact us page,0
home page request,0
normal payload,0
hello world,0
user profile access,0
GET /index.html,0
safe input,0
simple form data,0
safe input,0
search query: books,0
simple form data,0
normal payload,0
search query: books,0
user profile access,0
page number 2,0
simple form data,0
home page request,0
page number 2,0
contact us page,0
GET /index.html,0
search query: books,0
normal payload,0
normal payload,0
simple form data,0
normal payload,0
normal payload,0
safe input,0
safe input,0
user profile access,0
GET /index.html,0
